DIAL_DIGIT_KEY,EVENT_DIRECTION_KEY,SDCA_LOCATION_CODE,TARGET_REGION_DESC,TARGET_COUNTRY_CODE,TARGET_COUNTRY_DESC,LDCA_NAME,SDCA_NAME,LDCC_X_COORD,LDCC_Y_COORD,CDSS_X_COORD,CDSS_Y_COORD,ISO_COUNTRY_CODE,RATE_CALSS,DIAL_DIGIT_DESC,PREFIX_IND,LIST_TYPE_ID_KEY,HOTLIST_IND,TEST_EVENT_IND,EVENT_CATEGORY_KEY,DM_IND,EVENT_TYPE_KEY,LENGTH,PROVIDER_DESC,BU_KEY,NOP_ID_KEY,FORCE_RI_IND,POPULATION_DATE_TIME,UPDATE_DATE_TIME
249123,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,6,1,-99,,ZAIN || Toll Free,1,125,9,02/24/2009 11:26:45,
249976,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,8,1,-99,,Emergency Number || ambulance ,1,-98,9,02/24/2009 11:26:45,
249995,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,6,1,-99,,Tourism Police,1,-98,9,02/24/2009 11:26:45,
249996,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,6,1,-99,,Darfur Emergency Number,1,-98,9,02/24/2009 11:26:45,
249998,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,6,1,-99,,Toll Free || Emergency Number,1,-98,9,02/24/2009 11:26:45,
249999,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,6,1,-99,,Toll Free || Emergency Number,1,-98,9,02/24/2009 11:26:45,
2491000,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,RADIO SMS SERVICE  || buy a voucher from any market and enter the scratch number  ,1,125,9,02/24/2009 11:26:45,
2491010,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,EIDGOAN  || sports news,1,125,9,02/24/2009 11:26:45,
2491011,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,TARJIM   || translation service from arabic to english and vise versa,1,125,9,02/24/2009 11:26:45,
2491030,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,"GAWALI  || nokia smart messaging (monophonic ringtones, pictures, logos)",1,125,9,02/24/2009 11:26:45,
2491100,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,100 FM VOICEVOICE SHORT CODES,1,125,9,02/24/2009 11:26:45,
2491104,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,RING TONES & LOGOS  || ring tones & logos,1,125,9,02/24/2009 11:26:45,
2491111,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,HORESCOPES  || daily horescopes forecasting,1,125,9,02/24/2009 11:26:45,
2491112,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,KOTA ESKANEYA  || know about the weekly draw of alkota aleskaneya,1,125,9,02/24/2009 11:26:45,
2491115,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,WINU-AL-HAYA(MAZAR)SMS SERVICES,1,125,9,02/24/2009 11:26:45,
2491116,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,WINU-AL-HAYA(MAZAR)ALAHDATH NEWSPAPER,1,125,9,02/24/2009 11:26:45,
2491118,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,EIDILONLAHAWLAHO,1,125,9,02/24/2009 11:26:45,
2491119,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,EIDILONLAHAWLAHO,1,125,9,02/24/2009 11:26:46,
2491120,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,EIDILONLAHAWLAHO,1,125,9,02/24/2009 11:26:46,
2491121,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,EIDILONINTERNATIONAL SPORT,1,125,9,02/24/2009 11:26:46,
2491122,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,EIDILONINTERNATIONAL SPORT,1,125,9,02/24/2009 11:26:46,
2491133,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,EIDILONMINISTRY OF INTERIOR ,1,125,9,02/24/2009 11:26:46,
2491195,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,OMDURMAN FM VOICEVOICE SHORT CODES,1,125,9,02/24/2009 11:26:46,
2491197,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,EIDILON FM 97,1,125,9,02/24/2009 11:26:46,
2491212,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,LEAPTECHMCHAT,1,125,9,02/24/2009 11:26:46,
2491213,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,6,1,-99,,ZAIN || Toll Free-Cutomer care,1,125,9,02/24/2009 11:26:46,
2491215,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,6,1,-99,,ZAIN || Toll Free-Cutomer care,1,125,9,02/24/2009 11:26:46,
2491216,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,SADA  || soprts news service,1,125,9,02/24/2009 11:26:46,
2491217,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,MOBILINKCNN DAILY NEWS,1,125,9,02/24/2009 11:26:46,
2491218,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,MOBILINKSHADA TV ,1,125,9,02/24/2009 11:26:46,
2491219,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,MOBILINKAVIATION TV,1,125,9,02/24/2009 11:26:46,
2491220,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,MOBILINKMAKTOOB MOLBILE(FOOTBALL SMS),1,125,9,02/24/2009 11:26:46,
2491221,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,MOBILINKMAKTOOB MOBILE(RIYADYAH SMS),1,125,9,02/24/2009 11:26:46,
2491222,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ALMAJAZ  || news service with the cooperation with alsahafa newspapers,1,125,9,02/24/2009 11:26:46,
2491223,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,MOBILINKSMS CHANNLES ,1,125,9,02/24/2009 11:26:46,
2491224,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,MOBILINKSADA MAIL BOX,1,125,9,02/24/2009 11:26:46,
2491225,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,MOBILINKVOTING SADA,1,125,9,02/24/2009 11:26:46,
2491226,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,MOBILINKBREAKING NEWS,1,125,9,02/24/2009 11:26:46,
2491227,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,MOBILINKALMOSHAHID MAIL BOX SERVICE,1,125,9,02/24/2009 11:26:46,
2491228,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,MOBILINKALMOSHAHIDVOTING SERVICE,1,125,9,02/24/2009 11:26:46,
2491233,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,MOBILINKADS+VOTING+COMPETITION,1,125,9,02/24/2009 11:26:46,
2491234,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ALMAJAZ  || news service with the cooperation with almomtaza newspapers,1,125,9,02/24/2009 11:26:46,
2491236,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,MOBILINKSEND REQUESTS TO BE A MEMBER & RECEIVE THE MAGAZINE  ,1,125,9,02/24/2009 11:26:46,
2491240,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,5,1,-99,,ZAIN || Toll Free-IVR,1,125,9,02/24/2009 11:26:46,
2491241,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,4,1,-99,,MOBILINKEL MARIEKH MAIL BOX,1,125,9,02/24/2009 11:26:46,
