"MCC","MNC","TADIG_CODE","CC","OPERATOR_COUNTRY","OPERATOR_NAME","POPULATION_DATE_TIME","UPDATE_DATE_TIME"
"","","OMNNT","","OMAN (SULTANATE OF )","OMANI QATARI TEL. CY S.A.O.C. 'NAWRAS'","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","OMNGT","","OMAN (SULTANATE OF )","OMANTEL (OMAN TEL. COM.CY S.A.O.C. )","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PAKMK","","PAKISTAN","MOBILINK GSM","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PAKUF","","PAKISTAN","PAK TELECOM MOBILE LIMITED 'UFONE'","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PAKTP","","PAKISTAN","TELENOR PAKISTAN (PAK) LTD.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PAKPL","","PAKISTAN","CMPAK LTD ""ZONG PAKISTAN""","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PSEJE","","PALESTINE","JAWWAL (PALESTINE CELLULAR COMMUNICATIONS LTD)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PSEWM","","PALESTINE","WATANIYA PALESTINE MOBILE TEL. CY","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PANCW","","PANAMA","C&W PANAMA SA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PANCL","","PANAMA","CLARO PANAMA S.A","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PANDC","","PANAMA","DIGICEL PANAMA S.A.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PANMS","","PANAMA","TELEFONICA MOVILES PANAMA S.A.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PNGPM","","PAPUA NEW GUINEA","BMOBILE LIMITED","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PNGDP","","PAPUA NEW GUINEA","DIGICEL (PNG) LIMITED","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PRYHT","","PARAGUAY","AMX PARAGUAY S.A. ('CTI MOVIL')","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PRYVX","","PARAGUAY","HOLA SA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PRYTC","","PARAGUAY","TELEFONICA CELULAR PARAGUAY S.A. - TELECEL-","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","PERTM","","PERU","CLARO (ex-AMERICA MOVIL PERU SAC, ex-TIM PERU SAC)","14/02/2023 13:10:00","14/02/2023 13:10:00"
